% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[2.7258 - 4.6600],Ses05F_impro07_F000,exc,"[4.5000, 3.5000, 3.5000]"
[5.0200 - 7.8100],Ses05F_impro07_F001,exc,"[4.5000, 3.0000, 4.0000]"
[9.2300 - 10.2500],Ses05F_impro07_F002,exc,"[4.0000, 3.0000, 3.0000]"
[11.0800 - 12.5700],Ses05F_impro07_F003,exc,"[4.5000, 3.0000, 3.0000]"
[13.6500 - 14.7900],Ses05F_impro07_F004,exc,"[4.5000, 3.5000, 4.0000]"
[14.9700 - 16.7000],Ses05F_impro07_F005,exc,"[4.5000, 3.0000, 4.0000]"
[19.3700 - 21.6800],Ses05F_impro07_F006,hap,"[4.0000, 3.0000, 3.5000]"
[24.0100 - 27.7700],Ses05F_impro07_F007,neu,"[4.5000, 2.5000, 3.0000]"
[30.8000 - 35.7900],Ses05F_impro07_F008,exc,"[4.5000, 4.0000, 4.5000]"
[41.9800 - 45.0400],Ses05F_impro07_F009,xxx,"[3.5000, 2.5000, 3.5000]"
[47.7400 - 49.7400],Ses05F_impro07_F010,xxx,"[4.0000, 3.0000, 3.0000]"
[49.7600 - 52.8800],Ses05F_impro07_F011,exc,"[4.5000, 3.5000, 4.0000]"
[54.1600 - 58.2600],Ses05F_impro07_F012,exc,"[4.5000, 4.0000, 4.0000]"
[60.2400 - 64.5700],Ses05F_impro07_F013,exc,"[4.0000, 3.0000, 3.5000]"
[70.8000 - 73.3400],Ses05F_impro07_F014,exc,"[4.5000, 3.5000, 4.0000]"
[75.2700 - 76.6600],Ses05F_impro07_F015,exc,"[4.5000, 3.0000, 3.5000]"
[77.1200 - 79.8400],Ses05F_impro07_F016,exc,"[4.0000, 3.5000, 3.5000]"
[85.8800 - 87.1200],Ses05F_impro07_F017,exc,"[3.5000, 2.5000, 2.5000]"
[88.0500 - 89.4700],Ses05F_impro07_F018,xxx,"[3.5000, 2.5000, 3.0000]"
[90.6700 - 93.0700],Ses05F_impro07_F019,xxx,"[3.5000, 2.5000, 3.0000]"
[93.6300 - 94.5100],Ses05F_impro07_F020,xxx,"[4.0000, 3.0000, 3.0000]"
[95.5700 - 98.8000],Ses05F_impro07_F021,exc,"[4.5000, 3.0000, 3.5000]"
[101.1700 - 103.4500],Ses05F_impro07_F022,xxx,"[4.0000, 3.5000, 3.5000]"
[104.2400 - 108.4200],Ses05F_impro07_F023,exc,"[4.5000, 4.0000, 4.0000]"
[117.3000 - 119.3600],Ses05F_impro07_F024,exc,"[4.0000, 3.0000, 3.5000]"
[119.4400 - 121.7200],Ses05F_impro07_F025,exc,"[4.0000, 2.5000, 3.5000]"
[123.6900 - 124.9300],Ses05F_impro07_F026,exc,"[4.0000, 3.5000, 3.5000]"
[125.0500 - 126.5400],Ses05F_impro07_F027,exc,"[4.0000, 3.5000, 3.5000]"
[129.9000 - 133.9600],Ses05F_impro07_F028,exc,"[5.0000, 4.0000, 4.0000]"
[135.7300 - 139.1500],Ses05F_impro07_F029,exc,"[4.0000, 3.5000, 3.5000]"
[144.4700 - 146.7100],Ses05F_impro07_F030,exc,"[5.0000, 4.5000, 4.0000]"
[147.1600 - 149.3500],Ses05F_impro07_F031,exc,"[4.0000, 3.5000, 3.5000]"
[149.5000 - 152.3600],Ses05F_impro07_F032,exc,"[4.0000, 3.0000, 3.5000]"
