% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[24.6765 - 25.8200],Ses05M_script02_1_F000,sad,"[3.0000, 2.0000, 2.5000]"
[56.2900 - 58.1700],Ses05M_script02_1_F001,neu,"[3.0000, 3.0000, 2.5000]"
[60.7000 - 62.9100],Ses05M_script02_1_F002,xxx,"[2.0000, 2.5000, 3.5000]"
[63.6300 - 70.3400],Ses05M_script02_1_F003,xxx,"[2.5000, 2.0000, 4.0000]"
[88.6600 - 89.7600],Ses05M_script02_1_F004,xxx,"[3.0000, 1.5000, 2.5000]"
[121.7500 - 123.0800],Ses05M_script02_1_F005,xxx,"[2.5000, 2.0000, 3.0000]"
[124.0200 - 126.7100],Ses05M_script02_1_F006,xxx,"[2.0000, 3.0000, 3.5000]"
[133.1400 - 135.3300],Ses05M_script02_1_F007,xxx,"[2.0000, 2.0000, 3.0000]"
[135.6100 - 136.9100],Ses05M_script02_1_F008,xxx,"[2.0000, 3.0000, 3.5000]"
[137.0300 - 138.4600],Ses05M_script02_1_F009,xxx,"[2.0000, 3.0000, 3.5000]"
[143.5200 - 145.4900],Ses05M_script02_1_F010,xxx,"[2.0000, 1.5000, 3.0000]"
[146.8900 - 148.7700],Ses05M_script02_1_F011,xxx,"[2.5000, 2.0000, 3.0000]"
[153.9000 - 155.1000],Ses05M_script02_1_F012,xxx,"[2.0000, 3.0000, 3.5000]"
[172.8200 - 179.4200],Ses05M_script02_1_F013,fru,"[1.0000, 4.0000, 4.5000]"
[200.8700 - 207.0300],Ses05M_script02_1_F014,fru,"[1.5000, 4.0000, 4.5000]"
[207.6300 - 209.3300],Ses05M_script02_1_F015,fru,"[2.0000, 4.0000, 4.0000]"
[227.0200 - 228.7500],Ses05M_script02_1_F016,sad,"[2.0000, 2.5000, 3.0000]"
[229.5900 - 230.9400],Ses05M_script02_1_F017,xxx,"[2.5000, 2.0000, 2.5000]"
[243.5000 - 253.4100],Ses05M_script02_1_F018,fru,"[1.5000, 4.0000, 4.5000]"
[254.6000 - 257.1800],Ses05M_script02_1_F019,fru,"[2.5000, 2.5000, 3.5000]"
