TURN_NAME,TEXT
Ses05M_impro06_F000,"Ryan, what's wrong?"
Ses05M_impro06_M000,I just got some bad news.
Ses05M_impro06_F001,What?
Ses05M_impro06_M001,"My friend, Shotty, passed away."
Ses05M_impro06_F002,"Oh, I'm so sorry"
Ses05M_impro06_M002,"The end, he's been sick for awhile.  He had cancer."
Ses05M_impro06_F003,"Oh, my gosh."
Ses05M_impro06_M003,"Yeah.  It's just, I never thought it would actually happen, you know? I mean- He's such a fighter and he's always so positive about everything."
Ses05M_impro06_FXX0,Yeah.
Ses05M_impro06_M004,"You know, he was gonna, and we -- all the way up to the end we were just talking about how- you know all the stuff we were gonna do and, you know.  When he finally kicked this stupid cancer, you know, and we were gonna --"
Ses05M_impro06_M005,"he wanted to travel, you know.  And he's so talented.  Probably the most talented person I have ever met in my entire life."
Ses05M_impro06_FXX1,Yeah.
Ses05M_impro06_F004,What did he do?
Ses05M_impro06_M006,"He was a designer, you know.  But he did everything. You know, He painted and he- and he did costume design, he did set design, he did lighting, he was --"
Ses05M_impro06_M007,"he just did everything.  He was literally, literally the most talented guy I have ever met in my entire life."
Ses05M_impro06_M008,And he's gone now and I  -- I just can't believe it.
Ses05M_impro06_F005,Yeah.  I'm so sorry.
Ses05M_impro06_M009,"I mean, one second you think, you know, you're just having a conversation and then --"
Ses05M_impro06_M010,"you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that.  Do you know what I mean?  Like that's -- he was the person that I did that with.  You know, like, that's the person who I needed to call to tell things to all the time."
Ses05M_impro06_F006,You guys have been-
Ses05M_impro06_M011,"And now I don't have that person anymore, you know.  And it's -- -- it's just, you."
Ses05M_impro06_FXX2,Yeah.
Ses05M_impro06_M012,"You think that things get easier, you know, as you as you get older and you -"
Ses05M_impro06_M013,"and it just gets worse.  It just gets worse, everything is bad all the time; people die, your friends die, family dies, your best friends die. it's-"
Ses05M_impro06_F007,I'm sorry. I-
Ses05M_impro06_M014,"You always think, you know when you were- you know when you were a little kid and you think something is gonna happen, like, it will all be better when I am older, you know?"
Ses05M_impro06_M015,"And I don't know why people don't just tell you off the bat that it's just gonna suck anyway.  You know, like, what's the point?"
Ses05M_impro06_M016,"All the best people die, all the bad people live and they make life shitty for you anyway."
Ses05M_impro06_F008,"Wow, Ryan I know that you are hurting right now but I don't think you always feel like that."
Ses05M_impro06_M017,"No, you're right.  I don't.  You're right."
Ses05M_impro06_M018,"Even, yeah -- he doesn't he would never feel that way, he would never want me to feel that way.  Of course not, but that's just where I am right now and -- -- I don't know what else to do with it."
Ses05M_impro06_F009,Yeah. I understand.  I think it's really healthy to grieve.
Ses05M_impro06_M019,I just miss him.
Ses05M_impro06_F010,If there's anything I can do to be there for you.
Ses05M_impro06_M020,Thanks.
