% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[2.2600 - 11.5600],Ses05F_impro05_F000,neu,"[2.5000, 2.5000, 3.0000]",i i i a i
[11.5900 - 15.1665],Ses05F_impro05_F001,neu,"[2.5000, 2.5000, 3.0000]",
[15.1950 - 17.8748],Ses05F_impro05_F002,neu,"[3.0000, 2.0000, 2.5000]",
[24.1752 - 28.9646],Ses05F_impro05_F003,fru,"[2.5000, 3.0000, 3.0000]",i i
[30.8900 - 32.2600],Ses05F_impro05_F004,neu,"[2.5000, 2.5000, 2.5000]",
[33.0800 - 34.3600],Ses05F_impro05_F005,neu,"[2.5000, 2.0000, 2.5000]",
[42.0500 - 43.3329],Ses05F_impro05_F006,neu,"[3.0000, 2.0000, 2.5000]",
[52.0280 - 57.3800],Ses05F_impro05_F007,neu,"[2.5000, 3.0000, 3.0000]",i i
[61.8900 - 66.9200],Ses05F_impro05_F008,fru,"[2.5000, 3.0000, 3.0000]",
[75.1483 - 78.5400],Ses05F_impro05_F009,fru,"[2.5000, 2.5000, 3.5000]",i
[80.7100 - 87.8200],Ses05F_impro05_F010,neu,"[2.5000, 3.0000, 3.5000]",a
[88.8000 - 91.5800],Ses05F_impro05_F011,fru,"[2.0000, 3.0000, 3.0000]",
[91.6000 - 95.4100],Ses05F_impro05_F012,fru,"[2.0000, 4.0000, 4.0000]",i i
[99.8400 - 101.1200],Ses05F_impro05_F013,fru,"[2.5000, 2.5000, 2.5000]",
[111.2000 - 116.0900],Ses05F_impro05_F014,fru,"[2.5000, 2.5000, 3.5000]",
[116.3300 - 118.1391],Ses05F_impro05_F015,xxx,"[3.0000, 3.0000, 3.5000]",
[127.3759 - 131.4200],Ses05F_impro05_F016,xxx,"[2.0000, 3.5000, 4.0000]",i
[135.9700 - 142.2900],Ses05F_impro05_F017,fru,"[2.0000, 3.5000, 4.5000]",
[146.7200 - 155.0900],Ses05F_impro05_F018,ang,"[1.5000, 3.5000, 4.5000]",i a i
[163.6400 - 168.5000],Ses05F_impro05_F019,ang,"[2.0000, 3.5000, 4.5000]",i
[172.1100 - 180.7400],Ses05F_impro05_F020,ang,"[2.0000, 3.5000, 4.0000]",i i a
[184.9600 - 198.7300],Ses05F_impro05_F021,ang,"[1.5000, 3.5000, 4.0000]",i a i i
[202.3531 - 208.0700],Ses05F_impro05_F022,ang,"[2.0000, 4.0000, 4.0000]",i i
[208.1118 - 212.0000],Ses05F_impro05_F023,ang,"[2.0000, 4.0000, 4.0000]",
[220.7981 - 226.6600],Ses05F_impro05_F024,ang,"[2.5000, 4.0000, 4.0000]",i
[228.3200 - 230.1800],Ses05F_impro05_F025,xxx,"[2.5000, 2.5000, 2.5000]",
[233.1138 - 239.2800],Ses05F_impro05_F026,fru,"[2.0000, 4.0000, 4.5000]",i i
[244.3400 - 252.4600],Ses05F_impro05_F027,fru,"[2.0000, 3.5000, 4.0000]",i a i i
[257.2300 - 259.7900],Ses05F_impro05_F028,fru,"[2.5000, 3.0000, 3.5000]",
[260.7300 - 265.6500],Ses05F_impro05_F029,xxx,"[2.5000, 4.0000, 4.5000]",i
[271.2011 - 273.7200],Ses05F_impro05_F030,fru,"[2.0000, 3.5000, 3.5000]",
[277.0600 - 279.3600],Ses05F_impro05_F031,ang,"[2.0000, 3.0000, 4.5000]",i a
[283.0400 - 290.4400],Ses05F_impro05_F032,xxx,"[1.5000, 4.0000, 4.5000]",i i
[294.7200 - 298.4100],Ses05F_impro05_F033,ang,"[2.5000, 4.0000, 4.0000]",
[298.4700 - 303.5300],Ses05F_impro05_F034,ang,"[2.5000, 4.0000, 3.5000]",
[304.2800 - 307.3600],Ses05F_impro05_F035,xxx,"[2.0000, 3.0000, 3.0000]",
[312.6500 - 320.3400],Ses05F_impro05_F036,fru,"[1.5000, 4.0000, 4.5000]",i
[324.7900 - 326.8300],Ses05F_impro05_F037,fru,"[2.0000, 3.0000, 3.5000]",
[329.6720 - 331.7500],Ses05F_impro05_F038,fru,"[2.0000, 2.5000, 3.5000]",
[333.4200 - 338.7600],Ses05F_impro05_F039,fru,"[2.0000, 3.0000, 4.0000]",
[340.9100 - 344.7200],Ses05F_impro05_F040,fru,"[2.0000, 3.5000, 3.5000]",
[346.0900 - 355.7400],Ses05F_impro05_F041,ang,"[1.0000, 4.5000, 4.5000]",i i i a a i i i
[355.7600 - 358.7800],Ses05F_impro05_F042,ang,"[1.5000, 4.0000, 4.5000]",i
[369.6000 - 371.4369],Ses05F_impro05_F043,xxx,"[2.0000, 2.5000, 2.0000]",
[373.3900 - 375.8500],Ses05F_impro05_F044,fru,"[2.0000, 3.5000, 3.5000]",i
[384.9600 - 386.9000],Ses05F_impro05_F045,fru,"[2.5000, 2.5000, 2.5000]",
[9.7600 - 11.8500],Ses05F_impro05_M000,neu,"[3.0000, 3.0000, 3.0000]",
[13.2200 - 15.3600],Ses05F_impro05_M001,neu,"[3.0000, 2.5000, 3.0000]",
[17.6467 - 24.7100],Ses05F_impro05_M002,neu,"[3.0000, 2.5000, 3.0000]",
[28.7936 - 33.5600],Ses05F_impro05_M003,neu,"[3.0000, 3.0000, 3.0000]",
[33.9900 - 37.9253],Ses05F_impro05_M004,neu,"[3.0000, 2.5000, 3.0000]",
[38.6860 - 43.3700],Ses05F_impro05_M005,neu,"[3.0000, 3.5000, 3.5000]",i
[43.4300 - 48.2934],Ses05F_impro05_M006,neu,"[2.5000, 3.0000, 3.5000]",i
[48.3219 - 52.3600],Ses05F_impro05_M007,neu,"[2.5000, 3.5000, 3.5000]",i
[55.7500 - 62.8100],Ses05F_impro05_M008,neu,"[2.5000, 2.0000, 3.5000]",i a i i i
[66.4800 - 75.1483],Ses05F_impro05_M009,neu,"[2.5000, 3.0000, 4.0000]",i
[77.2100 - 81.6200],Ses05F_impro05_M010,neu,"[2.5000, 2.5000, 3.5000]",
[87.2100 - 89.4700],Ses05F_impro05_M011,fru,"[3.5000, 2.5000, 3.0000]",
[91.3800 - 93.1400],Ses05F_impro05_M012,neu,"[2.5000, 2.0000, 3.0000]",
[94.5800 - 100.5600],Ses05F_impro05_M013,fru,"[3.0000, 2.5000, 4.0000]",i
[100.5900 - 112.7200],Ses05F_impro05_M014,neu,"[3.0000, 3.0000, 3.5000]",
[115.4200 - 117.4300],Ses05F_impro05_M015,neu,"[3.0000, 2.5000, 3.0000]",
[117.7700 - 127.4300],Ses05F_impro05_M016,neu,"[2.5000, 3.0000, 3.5000]",i i a
[131.0820 - 138.8300],Ses05F_impro05_M017,neu,"[2.5000, 2.5000, 4.0000]",i i i
[141.7156 - 147.4300],Ses05F_impro05_M018,neu,"[2.5000, 3.0000, 3.5000]",i
[149.4600 - 150.5700],Ses05F_impro05_M019,neu,"[2.5000, 3.5000, 2.5000]",
[150.6000 - 151.8076],Ses05F_impro05_M020,fru,"[2.5000, 3.0000, 3.0000]",
[151.8400 - 153.0900],Ses05F_impro05_M021,fru,"[2.5000, 2.5000, 3.0000]",i
[153.4600 - 160.0793],Ses05F_impro05_M022,neu,"[2.5000, 2.5000, 3.5000]",a
[160.1078 - 165.6000],Ses05F_impro05_M023,neu,"[2.5000, 2.5000, 4.0000]",
[168.0300 - 172.2300],Ses05F_impro05_M024,xxx,"[2.5000, 2.5000, 3.5000]",i i i
[180.2400 - 185.1900],Ses05F_impro05_M025,neu,"[2.5000, 3.5000, 3.5000]",
[185.2800 - 188.7000],Ses05F_impro05_M026,fru,"[3.0000, 2.5000, 3.0000]",
[197.6600 - 204.1600],Ses05F_impro05_M027,fru,"[2.5000, 3.0000, 3.5000]",
[206.8200 - 208.8900],Ses05F_impro05_M028,fru,"[3.0000, 2.5000, 2.5000]",
[211.1100 - 221.4000],Ses05F_impro05_M029,fru,"[2.5000, 3.0000, 4.0000]",a
[225.7100 - 228.4669],Ses05F_impro05_M030,neu,"[3.0000, 3.0000, 3.0000]",i
[229.6000 - 233.5600],Ses05F_impro05_M031,neu,"[2.5000, 3.0000, 3.5000]",
[238.7900 - 245.4500],Ses05F_impro05_M032,neu,"[3.0000, 3.5000, 4.0000]",
[250.9600 - 258.6600],Ses05F_impro05_M033,neu,"[2.0000, 3.0000, 4.0000]",a
[259.2500 - 262.1400],Ses05F_impro05_M034,neu,"[3.0000, 3.0000, 3.0000]",
[264.9292 - 271.5100],Ses05F_impro05_M035,fru,"[3.0000, 3.0000, 3.5000]",i
[271.5600 - 278.3100],Ses05F_impro05_M036,neu,"[2.5000, 3.0000, 3.5000]",i i i i
[278.5600 - 280.9100],Ses05F_impro05_M037,neu,"[2.5000, 3.0000, 2.5000]",i
[280.9700 - 283.4400],Ses05F_impro05_M038,fru,"[2.5000, 3.0000, 3.0000]",i i
[289.8300 - 296.5900],Ses05F_impro05_M039,neu,"[2.5000, 3.0000, 4.0000]",i i i
[298.0000 - 299.4600],Ses05F_impro05_M040,neu,"[2.5000, 2.5000, 3.0000]",
[301.5300 - 304.5800],Ses05F_impro05_M041,neu,"[3.0000, 3.0000, 3.5000]",
[306.9000 - 313.5800],Ses05F_impro05_M042,xxx,"[2.5000, 3.0000, 3.5000]",i i i
[319.4600 - 326.9644],Ses05F_impro05_M043,fru,"[3.0000, 3.0000, 4.0000]",
[326.9800 - 329.3014],Ses05F_impro05_M044,fru,"[3.0000, 3.0000, 3.0000]",i
[330.6000 - 334.1400],Ses05F_impro05_M045,fru,"[2.5000, 2.5000, 3.5000]",i
[337.5200 - 342.5400],Ses05F_impro05_M046,fru,"[3.0000, 3.0000, 3.5000]",
[343.9700 - 346.4064],Ses05F_impro05_M047,fru,"[2.5000, 3.0000, 3.5000]",
[355.6200 - 357.0000],Ses05F_impro05_M048,neu,"[3.0000, 3.0000, 2.5000]",
[358.1000 - 365.2600],Ses05F_impro05_M049,fru,"[2.5000, 3.5000, 4.5000]",i i
[365.3000 - 370.5300],Ses05F_impro05_M050,neu,"[2.5000, 3.5000, 4.0000]",i i
[371.6300 - 374.1600],Ses05F_impro05_M051,neu,"[3.0000, 2.5000, 2.5000]",
[375.1000 - 385.1400],Ses05F_impro05_M052,neu,"[3.5000, 3.0000, 3.5000]",
[386.3900 - 388.2700],Ses05F_impro05_M053,neu,"[4.0000, 2.5000, 3.0000]",a
