% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[5.4800 - 6.7000],Ses05M_impro07_F000,exc,"[4.0000, 3.0000, 2.0000]",
[8.3300 - 9.6900],Ses05M_impro07_F001,exc,"[4.0000, 3.5000, 2.0000]",
[9.7000 - 11.2200],Ses05M_impro07_F002,xxx,"[4.0000, 2.5000, 2.0000]",
[11.3500 - 13.6000],Ses05M_impro07_F003,exc,"[4.5000, 2.5000, 2.0000]",i
[13.9900 - 15.7900],Ses05M_impro07_F004,hap,"[4.0000, 3.0000, 2.0000]",
[16.3800 - 18.9800],Ses05M_impro07_F005,hap,"[4.0000, 3.0000, 2.5000]",
[18.9900 - 20.8200],Ses05M_impro07_F006,xxx,"[4.0000, 3.5000, 2.0000]",
[20.8300 - 23.4200],Ses05M_impro07_F007,hap,"[4.0000, 3.0000, 2.5000]",i
[26.5900 - 28.3300],Ses05M_impro07_F008,hap,"[4.0000, 2.5000, 2.5000]",
[29.3000 - 31.2600],Ses05M_impro07_F009,exc,"[4.0000, 2.0000, 2.0000]",
[32.1000 - 33.3300],Ses05M_impro07_F010,neu,"[4.0000, 2.0000, 2.5000]",
[37.6200 - 41.0500],Ses05M_impro07_F011,exc,"[4.0000, 3.0000, 2.5000]",
[45.3500 - 50.1800],Ses05M_impro07_F012,exc,"[4.0000, 3.5000, 2.5000]",i i i i
[51.2900 - 55.9000],Ses05M_impro07_F013,hap,"[4.0000, 2.5000, 2.0000]",i
[57.6600 - 63.5900],Ses05M_impro07_F014,xxx,"[3.5000, 2.5000, 2.5000]",i i i
[63.9800 - 66.8800],Ses05M_impro07_F015,exc,"[4.0000, 3.0000, 2.5000]",
[67.6700 - 68.9500],Ses05M_impro07_F016,neu,"[4.0000, 2.0000, 2.0000]",
[70.4300 - 71.8400],Ses05M_impro07_F017,neu,"[4.0000, 1.5000, 2.0000]",
[75.7300 - 77.8400],Ses05M_impro07_F018,neu,"[3.5000, 3.0000, 2.5000]",i i
[83.1200 - 84.1900],Ses05M_impro07_F019,neu,"[3.5000, 1.5000, 2.0000]",
[85.0200 - 93.7100],Ses05M_impro07_F020,neu,"[3.0000, 3.0000, 2.5000]",i
[93.8500 - 95.7400],Ses05M_impro07_F021,exc,"[3.5000, 3.0000, 2.5000]",
[97.6700 - 100.5300],Ses05M_impro07_F022,exc,"[4.0000, 2.5000, 2.0000]",i
[100.5600 - 103.2400],Ses05M_impro07_F023,hap,"[3.5000, 2.0000, 2.5000]",
[103.8200 - 105.2400],Ses05M_impro07_F024,neu,"[3.0000, 2.0000, 2.0000]",
[109.4600 - 111.1900],Ses05M_impro07_F025,neu,"[3.0000, 2.5000, 2.5000]",
[112.2900 - 117.1100],Ses05M_impro07_F026,neu,"[3.0000, 2.5000, 2.5000]",i i i
[117.1700 - 120.0700],Ses05M_impro07_F027,neu,"[3.0000, 2.5000, 2.5000]",
[124.1700 - 125.4900],Ses05M_impro07_F028,neu,"[3.0000, 2.5000, 2.0000]",
[126.5900 - 129.7200],Ses05M_impro07_F029,neu,"[3.5000, 2.5000, 2.5000]",i i
[129.8400 - 130.7300],Ses05M_impro07_F030,neu,"[4.0000, 2.0000, 2.5000]",
[131.9200 - 140.1300],Ses05M_impro07_F031,hap,"[3.5000, 3.0000, 2.5000]",a
[140.3800 - 141.4600],Ses05M_impro07_F032,neu,"[3.0000, 2.5000, 2.5000]",
[143.8800 - 145.2100],Ses05M_impro07_F033,neu,"[4.0000, 2.0000, 2.0000]",
[145.2500 - 148.3700],Ses05M_impro07_F034,xxx,"[3.0000, 3.0000, 2.0000]",
[148.5700 - 150.9100],Ses05M_impro07_F035,hap,"[4.0000, 2.5000, 2.5000]",a
[153.3400 - 154.9900],Ses05M_impro07_F036,hap,"[4.0000, 2.5000, 2.0000]",
[158.8000 - 160.0000],Ses05M_impro07_F037,exc,"[4.0000, 3.5000, 2.5000]",
[161.1600 - 162.5700],Ses05M_impro07_F038,neu,"[4.0000, 2.0000, 2.0000]",
[162.6200 - 164.0700],Ses05M_impro07_F039,hap,"[4.0000, 2.0000, 2.0000]",
[171.1600 - 172.6900],Ses05M_impro07_F040,neu,"[3.5000, 2.0000, 2.0000]",
[173.6400 - 175.8500],Ses05M_impro07_F041,exc,"[4.0000, 2.0000, 2.0000]",
[183.4500 - 188.4300],Ses05M_impro07_F042,exc,"[4.0000, 2.0000, 2.5000]",
[191.8400 - 193.3900],Ses05M_impro07_F043,xxx,"[4.0000, 1.5000, 2.0000]",
[197.6100 - 201.4300],Ses05M_impro07_F044,exc,"[4.0000, 3.0000, 2.5000]",
