% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[3.3400 - 6.2900],Ses05M_script01_3_F000,neu,"[3.5000, 2.0000, 2.5000]",i
[10.1700 - 17.4600],Ses05M_script01_3_F001,hap,"[4.0000, 2.5000, 2.5000]",a
[19.9600 - 24.4800],Ses05M_script01_3_F002,xxx,"[3.5000, 2.0000, 3.0000]",i
[26.7600 - 30.4900],Ses05M_script01_3_F003,neu,"[3.0000, 2.0000, 3.0000]",
[30.5400 - 36.6900],Ses05M_script01_3_F004,xxx,"[3.0000, 2.0000, 2.0000]",
[39.8000 - 43.1700],Ses05M_script01_3_F005,xxx,"[2.5000, 3.0000, 2.5000]",i
[53.5800 - 57.1300],Ses05M_script01_3_F006,neu,"[3.5000, 2.0000, 3.0000]",i
[59.5600 - 64.7100],Ses05M_script01_3_F007,neu,"[3.0000, 3.0000, 3.0000]",i i
[79.7400 - 82.1800],Ses05M_script01_3_F008,xxx,"[4.0000, 2.0000, 2.5000]",i
[123.0700 - 126.1400],Ses05M_script01_3_F009,hap,"[4.0000, 2.5000, 3.0000]",i a
[131.8600 - 134.5300],Ses05M_script01_3_F010,sad,"[3.0000, 2.0000, 2.5000]",i
[137.3100 - 139.5600],Ses05M_script01_3_F011,xxx,"[4.0000, 3.0000, 3.0000]",
[141.9300 - 143.4600],Ses05M_script01_3_F012,hap,"[4.5000, 3.0000, 2.5000]",
[146.7600 - 154.1600],Ses05M_script01_3_F013,exc,"[4.0000, 3.5000, 3.0000]",i i
[163.4600 - 171.0900],Ses05M_script01_3_F014,xxx,"[5.0000, 4.0000, 3.5000]",i i i
[174.5800 - 177.1800],Ses05M_script01_3_F015,exc,"[3.0000, 3.0000, 3.5000]",
[178.8000 - 186.3304],Ses05M_script01_3_F016,sad,"[2.5000, 3.0000, 3.5000]",
[190.8800 - 193.2400],Ses05M_script01_3_F017,xxx,"[2.5000, 3.5000, 3.5000]",
[196.9800 - 198.9700],Ses05M_script01_3_F018,xxx,"[2.0000, 2.0000, 3.5000]",
[200.5200 - 204.7000],Ses05M_script01_3_F019,sad,"[2.0000, 3.0000, 2.0000]",
[211.1600 - 213.3700],Ses05M_script01_3_F020,sad,"[2.5000, 2.0000, 2.5000]",
[216.9600 - 219.0581],Ses05M_script01_3_F021,sad,"[1.5000, 2.5000, 3.0000]",
[229.2700 - 230.9500],Ses05M_script01_3_F022,neu,"[2.5000, 2.0000, 2.0000]",
[234.0200 - 235.6400],Ses05M_script01_3_F023,sad,"[2.5000, 2.0000, 2.5000]",
[406.5000 - 409.1800],Ses05M_script01_3_F024,sad,"[3.0000, 2.0000, 2.0000]",
[413.8400 - 424.4000],Ses05M_script01_3_F025,sad,"[2.5000, 2.5000, 3.5000]",a
[424.5800 - 430.9100],Ses05M_script01_3_F026,xxx,"[3.0000, 2.0000, 3.5000]",a
[434.8300 - 437.7200],Ses05M_script01_3_F027,hap,"[4.5000, 3.5000, 3.0000]",i a
[6.2181 - 10.4500],Ses05M_script01_3_M000,xxx,"[4.0000, 3.5000, 2.5000]",i
[17.2600 - 20.2500],Ses05M_script01_3_M001,exc,"[3.5000, 3.5000, 3.0000]",i
[25.2200 - 26.9300],Ses05M_script01_3_M002,sur,"[2.0000, 2.0000, 2.0000]",
[30.1200 - 31.4900],Ses05M_script01_3_M003,neu,"[3.0000, 3.5000, 2.5000]",
[37.4600 - 38.6700],Ses05M_script01_3_M004,xxx,"[2.5000, 3.0000, 3.0000]",
[43.9700 - 53.4600],Ses05M_script01_3_M005,xxx,"[3.5000, 3.5000, 2.5000]",i a a
[57.7800 - 59.7400],Ses05M_script01_3_M006,xxx,"[3.0000, 2.0000, 3.0000]",
[66.9800 - 78.5900],Ses05M_script01_3_M007,xxx,"[3.5000, 3.5000, 2.0000]",i i i
[82.5300 - 97.9500],Ses05M_script01_3_M008,xxx,"[4.5000, 4.0000, 3.5000]",i i a i
[98.1400 - 112.8500],Ses05M_script01_3_M009,xxx,"[3.5000, 4.5000, 3.0000]",i i i i i
[113.0300 - 124.1900],Ses05M_script01_3_M010,exc,"[3.5000, 3.5000, 3.0000]",i i
[127.0100 - 131.6100],Ses05M_script01_3_M011,xxx,"[2.0000, 3.0000, 2.0000]",
[135.0800 - 137.0700],Ses05M_script01_3_M012,sur,"[3.0000, 3.0000, 2.5000]",
[139.4800 - 142.5800],Ses05M_script01_3_M013,hap,"[4.5000, 3.5000, 3.0000]",
[143.7700 - 147.1600],Ses05M_script01_3_M014,xxx,"[4.0000, 3.5000, 3.5000]",
[153.3900 - 157.5500],Ses05M_script01_3_M015,xxx,"[4.5000, 3.5000, 3.5000]",a a
[158.4500 - 164.7700],Ses05M_script01_3_M016,exc,"[4.5000, 4.5000, 4.5000]",i i i i
[170.1300 - 175.0000],Ses05M_script01_3_M017,exc,"[5.0000, 4.5000, 4.0000]",i
[177.1800 - 179.1100],Ses05M_script01_3_M018,sur,"[2.0000, 3.5000, 3.0000]",i
[187.5700 - 192.0500],Ses05M_script01_3_M019,sad,"[2.5000, 3.0000, 2.5000]",a i i
[192.9000 - 195.7700],Ses05M_script01_3_M020,sad,"[3.0000, 3.5000, 2.5000]",
[205.1700 - 210.6900],Ses05M_script01_3_M021,sad,"[2.5000, 2.5000, 2.5000]",i i
[214.2000 - 216.6400],Ses05M_script01_3_M022,neu,"[2.0000, 3.0000, 2.5000]",i i
[220.3200 - 224.2900],Ses05M_script01_3_M023,sad,"[2.5000, 2.5000, 2.5000]",
